rem Request open port-numbers
rem port-nr:  	139	SMB-original
rem 		445	SMB-later versions
rem            1521     Oracle-client
rem            3389     Windows WBT-server used for remote-desktop
rem            5985     Windows remote management via http
rem           54688     
rem           56924     
rem           57235

netstat -na

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    172.30.0.34:1521       172.30.67.152:53874    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.67.157:58131    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.0:50784      ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.54:59779     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.54:64210     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.56:58959     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.145:61786    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.224:53956    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.225:50683    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.233:55546    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.233:55785    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.68.234:63882    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.6:64716      ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.9:54915      ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.10:52417     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.10:58516     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.11:63211     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.18:63093     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.36:53393     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.36:62941     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.38:58548     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.38:59575     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.59:52445     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.69.69:53503     ESTABLISHED
  TCP    172.30.0.34:3389       172.29.56.118:65446    ESTABLISHED
  TCP    172.30.0.34:5985       172.30.67.129:52432    TIME_WAIT
  TCP    172.30.0.34:5985       172.30.67.129:52433    TIME_WAIT
  TCP    172.30.0.34:54688      35.164.235.110:443     CLOSE_WAIT
  TCP    172.30.0.34:56924      172.30.2.4:445         ESTABLISHED
  TCP    172.30.0.34:57235      172.16.128.1:55899     TIME_WAIT
  TCP    [::]:21                [::]:0                 LISTENING
  TCP    [::]:80                [::]:0                 LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:1521              [::]:0                 LISTENING
  TCP    [::]:1556              [::]:0                 LISTENING
  TCP    [::]:3389              [::]:0                 LISTENING
  TCP    [::]:5985              [::]:0                 LISTENING
  TCP    [::]:8081              [::]:0                 LISTENING
  TCP    [::]:47001             [::]:0                 LISTENING
  TCP    [::]:49152             [::]:0                 LISTENING
  TCP    [::]:49153             [::]:0                 LISTENING
  TCP    [::]:49154             [::]:0                 LISTENING
  TCP    [::]:49155             [::]:0                 LISTENING
  TCP    [::]:49156             [::]:0                 LISTENING
  TCP    [::]:49173             [::]:0                 LISTENING
